year,sector,nbr_firms,sectoral_VA_BdF,yearly_GDP_INSEE,sectoral_VA_INSEE
2003,Agriculture,3293.0,3.238058,9977130.0,30.2
2004,Agriculture,3320.0,3.504505,10522588.0,31.1
2005,Agriculture,3440.0,3.627414,10855728.0,29.7
2006,Agriculture,3588.0,3.868156,11456346.0,28.1
2007,Agriculture,3866.0,4.25708,12464488.0,31.3
2008,Agriculture,4084.0,4.366452,12650215.0,30.2
2009,Agriculture,4173.0,3.9704,12618299.0,25.6
2010,Agriculture,4588.0,4.193229,12473169.0,32.0
2011,Agriculture,4881.0,4.649986,14036716.0,34.0
2012,Agriculture,4304.0,4.900083,14524289.0,34.1
2013,Agriculture,3614.0,4.701694,15274421.0,30.9
2014,Agriculture,3599.0,4.661542,15140324.0,33.5
2015,Agriculture,3652.0,4.752206,15197220.0,35.3
2016,Agriculture,3604.0,4.8845,14897559.0,32.1
2017,Agriculture,3668.0,5.150209,15551672.0,35.6
2018,Agriculture,3753.0,5.426967,15843960.0,38.2
2003,Industry,44267.0,244.568468,945426307.0,254.2
2004,Industry,43886.0,256.4492,976162086.0,259.3
2005,Industry,43557.0,255.316348,989256808.0,260.1
2006,Industry,43787.0,257.685302,1043651744.0,261.8
2007,Industry,44630.0,265.66971,1104343486.0,266.6
2008,Industry,44194.0,248.893128,1130922312.0,261.3
2009,Industry,42601.0,229.262982,976656453.0,245.6
2010,Industry,43803.0,244.03557,1043094223.0,248.0
2011,Industry,45617.0,243.258557,1114284521.0,258.4
2012,Industry,44050.0,244.165418,1095521300.0,263.6
2013,Industry,41204.0,248.222754,1054261920.0,268.6
2014,Industry,41149.0,248.090354,1064561593.0,271.4
2015,Industry,41076.0,251.254287,1088020760.0,280.8
2016,Industry,41003.0,253.113054,1084296101.0,281.1
2017,Industry,41216.0,260.322685,1155480335.0,280.0
2018,Industry,41495.0,264.79601,1195315151.0,280.2
2003,Construction,25947.0,36.053269,112287225.0,75.1
2004,Construction,27207.0,39.122347,121846273.0,80.8
2005,Construction,28789.0,41.98662,131470293.0,86.2
2006,Construction,31383.0,47.299609,151557412.0,94.6
2007,Construction,34830.0,52.969887,171951108.0,105.0
2008,Construction,36578.0,55.614832,183074641.0,113.6
2009,Construction,36285.0,54.850029,174981445.0,108.8
2010,Construction,38013.0,53.851629,174305995.0,108.1
2011,Construction,39435.0,55.898531,185775842.0,111.6
2012,Construction,38321.0,54.837696,187146622.0,109.6
2013,Construction,34736.0,54.526422,183639579.0,111.9
2014,Construction,34092.0,53.341378,179842772.0,110.1
2015,Construction,33709.0,51.293243,173296529.0,107.9
2016,Construction,34065.0,51.593112,175753730.0,108.4
2017,Construction,34931.0,54.162147,185715251.0,114.9
2018,Construction,35475.0,56.024976,193219551.0,117.4
2003,Market services,147454.0,337.474733,1363455371.0,797.0
2004,Market services,152734.0,356.092636,1434182216.0,835.4
2005,Market services,157951.0,372.641835,1508983814.0,870.4
2006,Market services,170533.0,399.595583,1596885777.0,917.4
2007,Market services,187899.0,438.859452,1709211577.0,972.1
2008,Market services,193396.0,445.576251,1799433684.0,1006.7
2009,Market services,196453.0,434.771462,1688962047.0,976.6
2010,Market services,212496.0,456.659811,1767996500.0,1006.6
2011,Market services,224813.0,485.937531,1922087807.0,1030.3
2012,Market services,215315.0,476.514526,1904189230.0,1044.2
2013,Market services,199840.0,481.176587,1924180389.0,1055.6
2014,Market services,203359.0,484.125922,1929268046.0,1072.6
2015,Market services,208100.0,508.495564,1981913091.0,1099.9
2016,Market services,213626.0,525.83721,2030087684.0,1125.2
2017,Market services,218947.0,532.511569,2095942016.0,1153.8
2018,Market services,223647.0,549.243812,2185424946.0,1187.7
2003,Non-market services,6833.0,20.739276,43667342.0,312.8
2004,Non-market services,7218.0,22.127845,46889451.0,326.1
2005,Non-market services,7614.0,25.790005,49621241.0,339.7
2006,Non-market services,8522.0,28.848043,63451534.0,352.6
2007,Non-market services,9490.0,30.537817,67550912.0,367.6
2008,Non-market services,9955.0,32.983363,64857898.0,381.1
2009,Non-market services,10297.0,35.484619,69554705.0,393.5
2010,Non-market services,11512.0,37.868458,72729718.0,403.1
2011,Non-market services,12183.0,39.068133,74935767.0,414.3
2012,Non-market services,11507.0,41.00644,89321275.0,423.8
2013,Non-market services,10716.0,40.576031,90031323.0,432.9
2014,Non-market services,11168.0,42.081608,92614094.0,439.7
2015,Non-market services,11490.0,42.373967,95114691.0,443.6
2016,Non-market services,11956.0,44.324009,99445862.0,449.9
2017,Non-market services,12224.0,45.832021,103593186.0,459.7
2018,Non-market services,12428.0,47.673276,99611482.0,467.5
